state,deaths
Alabama,219
Alaska,9
Arizona,275
Arkansas,51
California,1725
Colorado,688
Connecticut,1924
Delaware,120
Florida,1075
Georgia,916
Hawaii,14
Idaho,56
Illinois,1933
Indiana,813
Iowa,118
Kansas,121
Kentucky,208
Louisiana,1729
Maine,50
Maryland,910
Massachusetts,2899
Michigan,3315
Minnesota,272
Mississippi,227
Missouri,283
Montana,14
Nebraska,56
Nevada,206
New Hampshire,60
New Jersey,5938
New Mexico,99
New York,22269
North Carolina,324
North Dakota,17
Ohio,728
Oklahoma,195
Oregon,92
Pennsylvania,1816
Rhode Island,226
South Carolina,174
South Dakota,11
Tennessee,181
Texas,651
Utah,41
Vermont,46
Virginia,449
Washington,927
West Virginia,34
Wisconsin,272
Wyoming,7
